YNR014W	639	639	0.8824	0.110255918092
YLR043C	312	312	1.0322	-0.0294542966478
YJL213W	996	996	0.935	-0.0336012748483
YPL273W	978	978	1.0039	-0.0458886935465
YOR317W	2103	2103	1.0447	-0.0319927059604
YHR214W	612	612	1.0056	0.0178920624713
YDL037C	987	987	1.1991	-0.0171834464486
YPR020W	348	348	0.4937	-0.0905552576435
YAL029C	4416	4416	0.7313	-0.0661786453412
YOR388C	1131	1131	1.2609	0.00821594036169
YPR044C	354	354	1.0931	-0.0770570190494
YPL012W	3687	3687	0.8896	-0.0795866620959
YER007C-A	546	546	0.874	-0.0349084764845
YIL044C	897	897	0.7445	-0.0443966361498
YIL105W-A	141	141	1.1631	-0.0471123894494
YER105C	4176	4176	0.823	-0.0684312086618
YLR213C	1269	1269	0.7223	0.00816510835647
YDL002C	612	612	0.8985	-0.0629833811288
YDL133C-A	78	78	0.8644	-0.0507666838567
YPR074C	2043	2043	0.9054	-0.0116192177807
YGR182C	354	354	0.3921	-0.0639607619675
YDR345C	1704	1704	1.0089	-0.0392390782548
YOR174W	855	855	0.8777	0.00839496512197
YDL136W	363	363	0.8439	-0.00683575171639
YBL085W	2943	2943	0.8892	-0.0474676143986
YLR018C	900	900	0.9231	-0.0467591790537
YML126C	1476	1476	1.0517	-0.0366799390357
YER067C-A	324	324	1.0139	-0.0533825268775
YCL026C-B	582	582	1.0336	0.0263814179948
YLR322W	315	315	0.8671	-0.0886534905716
YGL064C	1686	1686	0.8693	-0.051753040192
	624	624	0.8941	-0.0568634921822
YPR176C	978	978	0.7728	-0.0441315322926
YGL023C	1908	1908	1.0318	0.0544400263358
YPL098C	342	342	0.8107	0.00965495765314
YAR070C	300	300	0.7302	-0.0355897238257
YNL320W	855	855	0.6167	-0.0551354165623
YBL013W	1206	1206	0.9009	0.0741572303018
YPL122C	1542	1542	0.7749	-0.088568375434
YKL048C	1923	1923	0.7484	-0.036970080483
TR(UCU)G3	72	57	1.2807	0.118246888318
YOR372C	1665	1665	0.6964	-0.0520475257292
YDL108W	921	921	0.7689	-0.0333081626667
YDR222W	1248	1248	0.8889	-0.0696298058732
YOL099C	492	492	0.7843	-0.0630603537768
YNL071W	1449	1449	1.0221	0.00620753066325
YOL091W	1830	1830	0.8595	-0.0941578665512
YGR195W	741	741	0.9621	-0.0246475824836
YPR098C	486	486	0.7272	-0.0406208494237
YER087C-B	249	249	0.9167	-0.050875737725
YNR005C	405	405	0.8995	-0.116820467667
YGR257C	1101	1101	0.7713	-0.0113343679625
YJR028W	1323	1323	1.0416	-0.0441710459559
YBR111C	696	696	1.0284	-0.0333147862867
